ID;Name;Birthday;Films
0;Sam Worthington;1976-08-02;[[19995, Jake Sully], [18823, Perseus], [253412, Guy Cotter], [49527, Nick Cassidy], [144336, ""James 'Monster' Murray""], [534, Marcus Wright], [48289, Young David Peretz], [57165, Perseus]]
1;Zoe Saldana;1978-06-19;[[19995, Neytiri], [190955, Vanessa], [10560, Eva Rodrguez], [62835, Cataleya Restrepo], [17130, Kit], [13497, Laila], [10050, Maggie], [118340, Gamora], [11638, Theresa Jones], [164457, Lena Taylor], [22, Anamaria], [13475, Nyota Uhura], [188927, Nyota Uhura], [54138, Nyota Uhura], [22907, Rachel Jansen], [228326, Maria (voice)], [34813, Aisha al-Fadhil], [594, Torres], [83686, Dora Jansen], [7461, Angie Jones]]
2;Sigourney Weaver;1949-10-08;[[59965, ""Dr. Geraldine 'Geri' Bennett""], [348, Ellen Ripley], [8078, Ripley], [8077, Ripley], [679, Lieutenant Ellen Ripley], [19995, Dr. Grace Augustine], [8780, Chaffee Bicknell], [4953, Ms. Lawson], [52067, Macy Vanderhei], [198184, Michelle Bradley], [1710, Helen Hudson], [147441, Tuja], [926, Gwen DeMarco], [5393, Frieda], [10833, Max Conners], [8326, Warden Walker], [25350, Sandy Travis], [9672, Babe Paley], [75638, Margaret Matheson], [9092, Lady Claudia Hoffman], [39141, Eve Grubman], [77948, Jean Carrack], [68924, Janey Carver], [10199, The Narrator (voice)], [6947, Alice Hunt], [73935, Cisserus], [7461, Rex Brooks], [38303, Aunt Ramona]]
3;Stephen Lang;1952-07-11;[[19995, Col. Quaritch], [226458, Father Conway], [10655, Maj. Gen. George E. Pickett], [16072, Lt. Gen. Thomas Stonewall Jackson], [11322, Charles Winstead], [38153, The Agent], [11588, Mr. Travitt], [10313, Brigadier General Dean Hopgood], [227783, King (voice)], [11969, Ike Clanton]]
4;Michelle Rodriguez;1978-07-12;[[19995, Trudy Chacon], [168705, Katarin], [9266, Eden], [168259, Letty], [23631, Luz], [106747, Luz], [1576, Rain], [71679, Rain Ocampo], [9257, Chris Sanchez], [9799, Letty Ortiz]]
5;Giovanni Ribisi;1974-12-17;[[13197, Joey], [188161, Edward], [19995, Selfridge], [10782, Kendall], [14181, Seth Davis], [2289, Junior], [77866, Tim Briggs], [118452, Joey], [11866, Elliott], [82682, Conway Keeler], [9679, Kip Raines], [25428, Gray Evans], [153, John], [11322, Alvin Karpis], [273895, Lee White], [5137, Dex], [72105, Donny], [214756, Donny], [9591, Chad], [13551, Rudy], [9922, Bandit 20]]
6;Joel David Moore;1970-01-01;[[19995, Norm Spellman], [9472, Owen], [9900, J.P.], [11908, Ben], [65055, Gordon]]
7;CCH Pounder;1970-01-01;[[19995, Moat], [9946, Detective Margie Francis], [21208, Sister Abigail], [9059, Irene]]
8;Wes Studi;1947-12-17;[[188161, Cochise], [19995, Eytukan], [9457, Hanover], [11667, Victor Sagat], [9361, Magua], [11400, Opechancanough], [15070, Mingo Pace]]
9;Laz Alonso;1974-03-25;[[19995, ""Tsu'Tey""], [109417, Dante], [25, Ramon Escobar], [57119, Jason Taylor], [38093, Mark Matthews], [12412, Corporal Hector Negron], [1931, Zeke], [64639, Deputy John Burke], [15250, Malcolm Moore]]
10;Johnny Depp;1963-06-09;[[377, Glen Lantz], [241259, Mad Hatter], [12155, The Mad Hatter], [261023, ""James 'Whitey' Bulger""], [4133, George Jung], [118, Willy Wonka], [392, Roux], [3933, Victor Van Dort (voice)], [62213, Barnabas Collins], [1909, Don Juan deMarco], [9366, ""Donnie Brasco / Joseph D. 'Joe' Pistone""], [522, Ed Wood], [162, Edward Scissorhands], [1878, Raoul Duke], [866, Sir James Matthew Barrie], [768, Inspector Frederick Abberline], [224141, Big Bad Wolf], [210860, Charles Mortdecai], [1428, Sands], [285, Captain Jack Sparrow], [58, Captain Jack Sparrow], [1865, Captain Jack Sparrow], [22, Captain Jack Sparrow], [792, Private Gator Lerner], [11322, John Dillinger], [44896, Rango (voice)], [1586, Mort Rainey], [2900, Commander Spencer Armacost], [8054, Imaginarium Tony 1], [7548, Rochester], [57201, Tonto], [622, Dean Corso], [37710, Frank Tupelo], [157353, Dr. Will Caster], [246403, Guy Lapointe], [1587, Gilbert Grape]]
11;Orlando Bloom;1977-01-13;[[9621, Drew Baylor], [1495, Balian de Ibelin], [285, Will Turner], [58, Will Turner], [22, Will Turner], [120, Legolas], [122, Legolas], [121, Legolas], [52451, Duke of Buckingham], [652, Paris], [185567, Brian Epkeen]]
12;Keira Knightley;1985-03-26;[[48231, Sabina Spielrein], [96724, Anna Karenina], [4347, Cecilia Tallis], [198277, Gretta James], [455, ""Juliette 'Jules' Paxton""], [9923, Domino Harvey], [253412, Jan Arnold], [137094, Cathy Muller], [508, Juliet], [42188, Ruth C.], [285, Elizabeth Swann], [58, Elizabeth Swann], [22, Elizabeth Swann], [4348, Elizabeth Bennet], [88005, ""Penelope 'Penny' Lockhart""], [12783, Georgiana Cavendish, Duchess of Devonshire], [205596, Joan Clarke], [9667, Jackie Price]]
13;Stellan Skarsg?rd;1951-06-13;[[26665, Tomas], [11831, Tappan], [13448, Commander Richter], [13491, Birger Brosa], [150689, Grand Duke], [31932, Joseph Kaspar], [8914, Jim Whitlock], [11026, Father Merrin], [489, Prof. Gerald Lambeau], [11631, Bill Anderson], [62215, Jack], [205588, Dima], [285, William ""Bootstrap Bill"" Turner], [58, William ""Bootstrap Bill"" Turner], [8195, Gregor], [24428, Erik Selvig], [65754, Martin Vanger], [2176, Terence Glass], [1669, Captain Viktor Tupolev], [127560, Finlay], [10195, Erik Selvig]]
14;Chow Yun-fat;1955-05-18;[[1439, King Mongkut], [11817, nameless monk], [146, Master Li Mu Bai], [1494, Emperor Ping], [14164, Master Roshi], [285, Captain Sao Feng], [13405, Chen Hansheng], [9455, Lieutenant Nick Chen], [11702, John Lee]]
15;Bill Nighy;1949-12-12;[[122906, Dad], [51052, Grandsanta (voice)], [16577, Dr. Elefun (voice)], [11619, Whitey], [19585, Leonard Saber], [100241, Naberius], [81005, General Fallon], [508, Billy Mack], [35944, Roger], [1259, Richard Hart], [285, Captain Davy Jones], [58, Captain Davy Jones], [44896, Rattlesnake Jake (voice)], [747, Phillip], [9978, Alan Blunt], [74534, Douglas Ainslie], [18947, Quentin], [1985, Sir Bernard Pellegrin], [268238, Douglas Ainslie], [277, Viktor], [834, Viktor], [12437, Viktor], [2253, Friedrich Olbricht], [44147, Victor Maynard], [57165, Hephaestus]]
16;Geoffrey Rush;1951-07-06;[[38415, Father Benedictus], [4518, Sir Francis Walsingham], [4517, Sir Francis Walsingham], [205584, Ra], [11377, Stephen H. Price], [11775, Donovan Donaly], [211672, Narrator (voice)], [612, Ephraim], [9824, Casanova Frankenstein], [285, Captain Hector Barbossa], [1865, Captain Hector Barbossa], [22, Captain Hector Barbossa], [10876, The Marquis de Sade], [1934, Philip Henslowe], [7863, David Helfgott], [9034, Harry Plummer], [152742, Virgil Oldman], [203833, Hans Hubermann], [45269, Lionel Logue], [2575, Harold "" Harry "" Pendel], [46528, Ron]]
17;Jack Davenport;1973-03-01;[[285, Admiral James Norrington], [58, James Norrington], [22, Commodore James Norrington], [18947, Twatt], [1213, Peter Smith-Kingsley], [6961, Edward Fletcher-Wooten]]
18;Kevin McNally;1956-04-27;[[12506, Ken], [15237, Gerald Murphy], [1844, Haas], [10034, Mason], [9486, Prime Minister], [285, Joshamee Gibbs], [58, Joshamee Gibbs], [1865, Joshamee Gibbs], [22, Joshamee Gibbs], [512, Mike Tinsley], [10215, Paul], [70436, Maddux], [36597, Mr. Earnshaw]]
19;Tom Hollander;1967-08-25;[[9726, Charlie Willis], [122906, Harry], [4517, Amyas Paulet], [5279, Anthony Meredith], [50456, Isaacs], [177677, Prime Minister], [15644, Leonard Clark], [285, Lord Cutler Beckett], [7548, Etherege], [17332, Graham Claydon]]
20;Daniel Craig;1968-03-02;[[36557, James Bond], [69668, Will Atenton], [21311, Declan Fielding], [9672, Perry Smith], [1995, Alex West], [4836, XXXX], [612, Steve], [10764, James Bond], [9389, Barthlmy Karas], [4147, Connor Rooney], [37724, James Bond], [206647, James Bond], [17578, Sakharine / Red Rackham (voice)], [65754, Mikael Blomkvist], [2268, Lord Asriel], [4858, Ben], [9667, Rudy Mackenzie]]
21;Christoph Waltz;1956-10-04;[[87093, Walter Keane], [72113, Alan], [68718, Dr. King Schultz], [227159, Bert Hanson], [16869, SS Colonel Hans Landa], [206647, Blofeld], [40805, Chudnofsky], [258489, Captain Leon Rom], [52451, Cardinal Richelieu], [55787, August Rosenbluth]]
22;La Seydoux;1985-07-01;[[206647, Madeleine]]
23;Ralph Fiennes;1962-12-22;[[18823, Hades], [101173, Caius Martius Coriolanus], [270487, Laurence Laurentz], [674, Lord Voldemort], [675, Lord Voldemort], [8321, Harry Waters], [7303, Christopher ""Chris"" Marshall], [35019, Lord Gray], [39780, Oscar Hopkins], [9533, Francis Dolarhyde], [424, Amon Goeth], [37724, Gareth Mallory / M], [206647, M], [9613, Spider], [1985, Justin Quayle], [533, Victor Quartermaine], [12783, Duke of Devonshire], [20024, Maurice Bendrix], [409, Count Lszl de Almsy], [120467, M. Gustave], [12162, Mercenary Team Leader], [9837, Ramesses II], [8055, Michael Berg], [18840, Todd Jackson], [57165, Hades]]
