ID;Name;Birthday;Films
0;James Cameron;1954-08-16;[679, 19995, 280, 2756, 218, 597, 36955]
1;Gore Verbinski;1964-03-16;[285, 58, 22, 44896, 57201, 6073, 6963]
2;Sam Mendes;1965-08-01;[14, 19255, 25, 4148, 4147, 37724, 206647]
3;Christopher Nolan;1970-07-30;[272, 27205, 320, 157336, 77, 155, 49026, 1124]
4;Andrew Stanton;1965-12-03;[12, 49529, 10681]
5;Sam Raimi;1959-10-23;[10223, 766, 16871, 765, 10390, 68728, 557, 558, 559, 764, 12106]
6;Nathan Greno;1970-01-01;[38757]
7;Joss Whedon;1964-06-23;[99861, 16320, 24428]
8;David Yates;1963-11-30;[767, 675, 258489]
9;Zack Snyder;1966-03-01;[1271, 209112, 924, 41216, 49521, 23629, 13183]
10;Bryan Singer;1965-09-17;[81005, 1452, 629, 2253, 36657, 246655, 127585, 36658]
11;Marc Forster;1969-11-30;[81220, 866, 45610, 1365, 10764, 1262, 7979, 72190]
12;Andrew Adamson;1970-01-01;[94352, 2454, 411]
13;Rob Marshall;1960-10-17;[1574, 224141, 1904, 10197, 1865]
14;Barry Sonnenfeld;1953-04-01;[2185, 8012, 607, 41154, 608, 2907, 8487]
15;Peter Jackson;1961-10-31;[1024, 254, 49051, 122917, 57158, 120, 122, 121, 7980]
16;Marc Webb;1974-08-31;[19913, 1930, 102382]
17;Ridley Scott;1937-11-30;[9726, 348, 4982, 855, 4105, 78, 12113, 147441, 4421, 98, 1495, 70981, 20662, 109091, 286217, 10534]
18;Chris Weitz;1970-01-01;[55720, 2268, 18239]
19;Joe Russo;1970-01-01;[271110, 100402, 9260, 1819]
20;Peter Berg;1953-06-11;[44833, 8960, 193756, 4349, 10159, 10029]
21;Colin Trevorrow;1976-09-13;[135397, 84332]
22;Shane Black;1961-12-16;[68721, 5236]
23;Tim Burton;1958-08-25;[12155, 268, 364, 4011, 87093, 587, 118, 62213, 522, 162, 62214, 75, 869]
24;Brett Ratner;1969-03-28;[10589, 184315, 9416, 9533, 5175, 5174, 5994, 59108, 36668]
25;Dan Scanlon;1970-01-01;[62211]
26;Michael Bay;1965-02-17;[300671, 95, 9737, 8961, 134374, 676, 1635, 9802, 1858, 91314, 38356, 8373]
27;Joseph Kosinski;1970-01-01;[75612, 20526]
28;Brad Lewis;1970-01-01;[49013]
29;Martin Campbell;1943-10-24;[9839, 36557, 12201, 710, 44912, 1656, 9342, 11678]
30;Lee Unkrich;1967-08-08;[10193]
31;McG;1979-09-12;[192102, 4327, 9471, 534, 59962, 11170]
32;James Wan;1977-02-26;[11835, 168259, 49018, 91586, 176, 138843, 259693]
33;J.J. Abrams;1970-01-01;[956, 13475, 54138, 37686]
34;Baz Luhrmann;1962-09-17;[6972, 824, 454, 64682]
35;Mike Newell;1942-03-28;[9366, 712, 674, 6639, 11820, 9543, 12596]
36;Guillermo del Toro;1964-10-09;[36586, 1487, 11253, 68726, 1417]
37;Steven Spielberg;1946-12-18;[11519, 644, 11831, 296098, 640, 840, 601, 879, 217, 89, 87, 578, 329, 72976, 180, 612, 85, 857, 424, 17578, 267935, 873, 330, 594, 57212, 74]
38;Peter Sohn;1970-01-01;[105864]
39;Steve Purcell;1970-01-01;[62177]
40;Justin Lin;1970-01-01;[14290, 51497, 13983, 188927, 9615]
41;Roland Emmerich;1955-11-10;[14161, 61891, 602, 47933, 273899, 435, 2024, 117251]
42;Robert Zemeckis;1952-05-14;[17979, 105, 165, 196, 2310, 8358, 686, 9374, 87502, 13, 5255, 285783, 2655]
43;Lana Wachowski;1965-06-21;[9303, 83542, 76757, 7459, 603, 604, 605]
44;Pete Docter;1968-10-09;[150540, 585, 14160]
45;Rob Letterman;1970-01-01;[257445, 38745, 15512, 10555]
46;Jon Favreau;1966-10-19;[10719, 1726, 10138, 15745, 278927, 6795]
47;Martin Scorsese;1942-11-17;[8649, 1598, 524, 3131, 769, 44826, 9746, 203, 12637, 1578, 7944, 11324, 103, 10436, 2567, 11873, 1422, 11051, 13963, 106646]
48;Rob Cohen;1949-03-12;[94348, 11228, 8840, 10048, 241251, 9799, 1735, 11478, 7451]
49;David Ayer;1968-01-18;[77016, 228150, 7873, 144336, 1266, 297761]
50;Tom Shadyac;1958-12-11;[3049, 310, 10052, 2698, 1624, 10312, 9327]
51;Doug Liman;1965-07-24;[137113, 38363, 9430, 8247, 787, 10218, 2501]
52;Kevin Reynolds;1970-01-01;[10448, 335778, 8367, 11362, 9804]
53;Stephen Sommers;1962-03-20;[9457, 14869, 34723, 1734]
54;Rupert Sanders;1971-03-16;[58595]
55;Robert Stromberg;1970-01-01;[102651]
56;Matt Reeves;1970-01-01;[7191, 119450, 41402, 23570]
57;Roland Joff;1970-01-01;[79698, 10533, 45054]
58;Carl Rinsch;1970-01-01;[64686]
59;Mike Mitchell;1970-01-01;[55301, 10402, 10192, 11459]
60;Brad Bird;1957-09-24;[56292, 2062, 9806, 10386, 158852]
61;Don Hall;1970-01-01;[177572, 51162]
62;Rich Moore;1970-01-01;[82690]
63;Dean DeBlois;1970-06-07;[10191, 82702, 11544]
64;Jonathan Mostow;1970-01-01;[2163, 19959, 296, 3536]
65;James Gunn;1970-08-05;[118340, 9035, 45132]
66;Shinji Higuchi;1970-01-01;[315011]
67;David Fincher;1962-08-28;[8077, 550, 210577, 4547, 807, 4922, 2649, 65754, 37799, 1949]
68;Matthew Vaughn;1971-03-07;[23483, 4836, 2270, 49538]
69;Francis Lawrence;1970-01-01;[6479, 101299, 131631, 131634, 55787]
70;Jon Turteltaub;1963-08-08;[864, 12117, 137093, 2059, 9294, 4244, 27022]
71;Wolfgang Petersen;1941-03-14;[9772, 387, 6950, 503, 34584, 2133, 652]
72;James Bobin;1970-01-01;[241259, 145220, 64328]
73;Raman Hui;1970-01-01;[810]
74;Duncan Jones;1971-05-30;[17431, 45612, 68735]
75;Alan Taylor;1970-01-01;[87101, 76338]
76;Michael Apted;1970-01-01;[82684, 16769, 1957, 11306, 10140, 36643]
77;Oliver Stone;1946-09-15;[1966, 9563, 2604, 820, 10858, 792, 6106, 82525, 10132, 10537, 10523, 10673, 33909, 1852]
78;Tom McGrath;1970-01-01;[953, 80321, 10527, 38055]
79;Shawn Levy;1968-07-23;[11870, 11007, 35056, 12090, 1593, 18360, 181533, 39254, 116741, 12096, 239678]
80;Gavin Hood;1963-05-12;[80274, 5125, 868, 2080]
81;Jennifer Lee;1970-01-01;[109445]
82;George Miller;1945-03-03;[9447, 9836, 65759, 9659, 8810, 76341, 15301]
83;Ron Howard;1954-03-01;[453, 13448, 568, 921, 11374, 11499, 8871, 205775, 3595, 96721, 2619, 591, 44564]
84;Kenneth Branagh;1960-12-10;[150689, 10549, 10705, 137094, 11971, 37028, 10195]
85;Byron Howard;1970-01-01;[13053]
86;Hoyt Yeatman;1970-01-01;[19585]
87;Jonathan Liebesman;1970-01-01;[44943, 10727, 98566, 10781, 57165]
88;Christopher McQuarrie;1970-01-01;[75780, 177677, 1619]
89;Joe Johnston;1970-01-01;[1771, 2023, 331, 7978]
90;Simon J. Smith;1970-01-01;[5559, 270946]
91;Jennifer Yuh Nelson;1970-01-01;[49444]
92;M. Night Shyamalan;1970-08-06;[82700, 9697, 2675, 8645, 10196, 745, 6947, 298312, 9741]
93;Simon Wells;1970-01-01;[50321, 2135]
94;Sam Fell;1970-01-01;[11619, 10199]
95;Joe Wright;1970-01-01;[96724, 4347, 50456, 266647, 4348, 17332]
96;Rob Minkoff;1970-01-01;[82703, 10137, 10996, 1729, 10756, 8587]
