ID;Name;Birthday;Films
0;James Cameron;1954-08-16;[[19995, Producer], [94352, Producer], [280, Producer], [597, Producer], [36955, Producer]]
1;Jon Landau;1960-07-23;[[19995, Producer], [597, Producer]]
2;Laeta Kalogridis;1970-01-01;[[19995, Executive Producer], [87101, Executive Producer], [117251, Producer]]
3;Jerry Bruckheimer;1943-09-21;[[95, Producer], [9737, Producer], [8961, Producer], [3132, Producer], [90, Producer], [96, Producer], [855, Producer], [6217, Executive Producer], [1701, Producer], [6282, Producer], [8963, Producer], [2119, Producer], [184346, Producer], [9798, Producer], [535, Producer], [9918, Producer], [9679, Producer], [10628, Producer], [25388, Producer], [2059, Producer], [676, Producer], [285, Producer], [58, Producer], [1865, Producer], [22, Producer], [9543, Producer], [10637, Producer], [57201, Producer], [9802, Producer], [744, Producer], [10629, Producer]]
4;Mike Stenson;1970-01-01;[[8961, Executive Producer], [3132, Producer], [855, Executive Producer], [9918, Executive Producer], [9679, Producer], [10628, Executive Producer], [2059, Executive Producer], [676, Executive Producer], [285, Executive Producer], [58, Executive Producer], [1865, Executive Producer], [22, Executive Producer], [9543, Executive Producer], [10637, Executive Producer], [57201, Executive Producer], [10629, Executive Producer]]
5;Eric McLeod;1970-01-01;[[64686, Producer], [818, Producer], [817, Producer], [201088, Executive Producer], [9683, Executive Producer], [787, Producer], [285, Producer], [58, Executive Producer], [9543, Executive Producer], [10588, Executive Producer], [8843, Producer], [6519, Executive Producer], [57201, Executive Producer], [7446, Producer], [44048, Producer]]
6;Chad Oman;1970-01-01;[[8961, Executive Producer], [3132, Executive Producer], [855, Executive Producer], [1701, Executive Producer], [6282, Producer], [9798, Executive Producer], [9918, Executive Producer], [9679, Executive Producer], [10628, Executive Producer], [2059, Executive Producer], [676, Executive Producer], [285, Producer], [58, Executive Producer], [1865, Executive Producer], [22, Executive Producer], [9543, Executive Producer], [57201, Executive Producer], [10629, Executive Producer]]
7;Peter Kohn;1970-01-01;[[9955, Producer], [285, Producer], [58, Producer]]
8;Pat Sandston;1970-01-01;[[9918, Producer], [676, Producer], [285, Producer], [58, Producer]]
9;Barbara Broccoli;1960-06-18;[[36557, Producer], [36669, Producer], [710, Producer], [10764, Producer], [37724, Producer], [206647, Producer], [36643, Producer], [714, Producer]]
10;Callum McDougall;1970-01-01;[[673, Executive Producer], [224141, Producer], [10764, Executive Producer], [37724, Executive Producer], [206647, Executive Producer], [1907, Producer], [57165, Executive Producer]]
11;Michael G. Wilson;1970-01-01;[[707, Producer], [36557, Producer], [36669, Producer], [699, Executive Producer], [710, Producer], [709, Producer], [700, Executive Producer], [10764, Producer], [37724, Producer], [206647, Producer], [708, Producer], [36643, Producer], [714, Producer]]
12;Charles Roven;1949-08-02;[[168672, Producer], [272, Producer], [209112, Producer], [11817, Producer], [795, Producer], [11665, Producer], [13816, Producer], [9981, Executive Producer], [49521, Producer], [11535, Producer], [9637, Producer], [11024, Producer], [297761, Producer], [8848, Producer], [21512, Producer], [4442, Producer], [155, Producer], [49026, Producer], [6415, Producer], [68735, Producer]]
13;Christopher Nolan;1970-07-30;[[209112, Executive Producer], [27205, Producer], [157336, Producer], [49521, Producer], [155, Producer], [49026, Producer], [1124, Producer], [157353, Executive Producer]]
14;Emma Thomas;1970-01-01;[[272, Producer], [209112, Executive Producer], [27205, Producer], [157336, Producer], [49521, Producer], [155, Producer], [49026, Producer], [1124, Producer], [157353, Executive Producer]]
15;Michael Uslan;1970-01-01;[[268, Executive Producer], [415, Executive Producer], [272, Executive Producer], [414, Executive Producer], [364, Executive Producer], [209112, Executive Producer], [142061, Executive Producer], [314, Executive Producer], [155, Executive Producer], [49026, Executive Producer], [137106, Executive Producer], [8285, Producer]]
16;Benjamin Melniker;1970-01-01;[[415, Executive Producer], [272, Executive Producer], [414, Executive Producer], [209112, Executive Producer], [314, Executive Producer], [155, Executive Producer], [49026, Executive Producer], [8285, Executive Producer]]
17;Thomas Tull;1970-01-01;[[1271, Executive Producer], [53182, Producer], [109410, Producer], [256274, Producer], [9988, Executive Producer], [201088, Producer], [18823, Executive Producer], [41733, Executive Producer], [27205, Executive Producer], [157336, Executive Producer], [81005, Executive Producer], [20533, Executive Producer], [135397, Executive Producer], [287903, Producer], [49521, Executive Producer], [22832, Executive Producer], [68726, Producer], [68737, Producer], [277216, Executive Producer], [23629, Executive Producer], [1452, Executive Producer], [9906, Executive Producer], [155, Executive Producer], [49026, Executive Producer], [18785, Executive Producer], [23168, Executive Producer], [68735, Producer], [13183, Executive Producer], [11170, Executive Producer], [57165, Executive Producer]]
18;Kevin De La Noy;1970-01-01;[[1372, Executive Producer], [18823, Producer], [155, Executive Producer], [49026, Executive Producer], [57165, Executive Producer]]
19;Colin Wilson;1970-01-01;[[11831, Producer], [8839, Producer], [49529, Producer], [1995, Producer], [612, Producer], [11551, Producer], [296, Producer], [888, Producer], [11618, Producer], [330, Producer], [652, Producer], [74, Producer]]
20;Jim Morris;1964-01-19;[[49529, Producer], [10681, Producer]]
21;Lindsey Collins;1970-01-01;[[49529, Producer], [10681, Producer]]
22;Joseph M. Caracciolo Jr.;1970-01-01;[[9032, Executive Producer], [14195, Producer], [4327, Executive Producer], [1710, Executive Producer], [35056, Executive Producer], [9504, Executive Producer], [11096, Executive Producer], [10025, Executive Producer], [14306, Executive Producer], [4032, Executive Producer], [16172, Producer], [558, Executive Producer], [559, Executive Producer], [20616, Producer], [350, Executive Producer], [76170, Executive Producer], [577, Executive Producer], [9029, Executive Producer]]
23;Stan Lee;1922-12-28;[[102899, Executive Producer], [99861, Executive Producer], [36647, Executive Producer], [36586, Executive Producer], [36648, Executive Producer], [271110, Executive Producer], [1771, Executive Producer], [100402, Executive Producer], [9947, Executive Producer], [1979, Executive Producer], [166424, Executive Producer], [71676, Executive Producer], [118340, Executive Producer], [1927, Executive Producer], [1726, Executive Producer], [10138, Executive Producer], [68721, Executive Producer], [557, Producer], [558, Executive Producer], [559, Executive Producer], [1930, Executive Producer], [24428, Executive Producer], [1724, Executive Producer], [7220, Executive Producer], [76170, Executive Producer], [10195, Executive Producer], [76338, Executive Producer], [127585, Executive Producer], [36668, Executive Producer]]
24;Laura Ziskin;1970-01-01;[[557, Producer], [558, Producer], [559, Producer], [10048, Producer], [1930, Producer], [132363, Producer], [577, Producer]]
25;Avi Arad;1970-01-01;[[36647, Executive Producer], [36586, Executive Producer], [36648, Executive Producer], [9947, Producer], [1979, Producer], [1250, Producer], [71676, Producer], [1927, Producer], [1726, Producer], [557, Executive Producer], [558, Producer], [559, Producer], [1930, Producer], [102382, Producer], [24428, Executive Producer], [7220, Producer], [2080, Producer], [36668, Producer]]
26;Kevin Feige;1973-06-02;[[102899, Producer], [99861, Producer], [271110, Producer], [1771, Producer], [100402, Producer], [1979, Executive Producer], [118340, Producer], [1927, Executive Producer], [1726, Producer], [10138, Producer], [68721, Producer], [13056, Executive Producer], [558, Executive Producer], [559, Executive Producer], [1930, Executive Producer], [24428, Producer], [1724, Producer], [7220, Executive Producer], [10195, Producer], [76338, Producer], [36668, Executive Producer]]
27;Grant Curtis;1970-01-01;[[16871, Producer], [68728, Executive Producer], [559, Producer]]
