ID;Title;Genres;Year;Runtime;Description;Cast;Director;Writers;Producers
19995;Avatar;['Action', 'Adventure', 'Fantasy', 'Science Fiction'];2009;162;In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.;[[CCH Pounder, Moat], [Giovanni Ribisi, Selfridge], [Joel David Moore, Norm Spellman], [Laz Alonso, "Tsu'Tey"], [Michelle Rodriguez, Trudy Chacon], [Sam Worthington, Jake Sully], [Sigourney Weaver, Dr. Grace Augustine], [Stephen Lang, Col. Quaritch], [Wes Studi, Eytukan], [Zoe Saldana, Neytiri]];James Cameron;[[James Cameron, Screenplay]];[[James Cameron, Producer], [Jon Landau, Producer], [Laeta Kalogridis, Executive Producer]]
285;Pirates of the Caribbean: At World's End;['Adventure', 'Fantasy', 'Action'];2007;169;Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.;[[Bill Nighy, Captain Davy Jones], [Chow Yun-fat, Captain Sao Feng], [Geoffrey Rush, Captain Hector Barbossa], [Jack Davenport, Admiral James Norrington], [Johnny Depp, Captain Jack Sparrow], [Keira Knightley, Elizabeth Swann], [Kevin McNally, Joshamee Gibbs], [Orlando Bloom, Will Turner], [Stellan Skarsg?rd, William ""Bootstrap Bill"" Turner], [Tom Hollander, Lord Cutler Beckett]];Gore Verbinski;[[Ted Elliott, Screenplay], [Terry Rossio, Screenplay]];[[Chad Oman, Producer], [Eric McLeod, Producer], [Jerry Bruckheimer, Producer], [Mike Stenson, Executive Producer], [Pat Sandston, Producer], [Peter Kohn, Producer]]
206647;Spectre;['Action', 'Adventure', 'Unknown'];2015;148;A cryptic message from Bond?s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.;[[Andrew Scott, C], [Ben Whishaw, Q], [Christoph Waltz, Blofeld], [Daniel Craig, James Bond], [Dave Bautista, Hinx], [LÇa Seydoux, Madeleine], [Monica Bellucci, Lucia], [Naomie Harris, Moneypenny], [Ralph Fiennes, M], [Rory Kinnear, Tanner]];Sam Mendes;[[Jez Butterworth, Screenplay], [John Logan, Story], [Neal Purvis, Story], [Robert Wade, Story]];[[Barbara Broccoli, Producer], [Callum McDougall, Executive Producer], [Michael G. Wilson, Producer]]
49026;The Dark Knight Rises;['Action', 'Unknown', 'Drama', 'Thriller'];2012;165;Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.;[[Anne Hathaway, Selina Kyle / Catwoman], [Christian Bale, Bruce Wayne / Batman], [Cillian Murphy, Dr. Jonathan Crane / Scarecrow], [Gary Oldman, James Gordon], [Joseph Gordon-Levitt, Blake], [Juno Temple, Jen], [Marion Cotillard, Miranda Tate], [Michael Caine, Alfred Pennyworth], [Morgan Freeman, Lucius Fox], [Tom Hardy, Bane]];Christopher Nolan;[[Christopher Nolan, Story], [David S. Goyer, Story], [Jonathan Nolan, Screenplay]];[[Benjamin Melniker, Executive Producer], [Charles Roven, Producer], [Christopher Nolan, Producer], [Emma Thomas, Producer], [Kevin De La Noy, Executive Producer], [Michael Uslan, Executive Producer], [Thomas Tull, Executive Producer]]
49529;John Carter;['Action', 'Adventure', 'Science Fiction'];2012;132;John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.;[[Bryan Cranston, Powell], [Ciar†n Hinds, Tardos Mors], [Dominic West, Sab Than], [James Purefoy, Kantos Kan], [Lynn Collins, Dejah Thoris], [Mark Strong, Matai Shang], [Samantha Morton, Sola], [Taylor Kitsch, John Carter], [Thomas Haden Church, Tal Hajus], [Willem Dafoe, Tars Tarkas]];Andrew Stanton;[[Andrew Stanton, Screenplay], [Mark Andrews, Screenplay], [Michael Chabon, Screenplay]];[[Colin Wilson, Producer], [Jim Morris, Producer], [Lindsey Collins, Producer]]
559;Spider-Man 3;['Fantasy', 'Action', 'Adventure'];2007;139;The seemingly invincible Spider-Man goes up against an all-new crop of villain ? including the shape-shifting Sandman. While Spider-Man?s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.;[[Bryce Dallas Howard, Gwen Stacey], [J.K. Simmons, J. Jonah Jameson], [James Cromwell, Captain Stacey], [James Franco, Harry Osborn / New Goblin], [Kirsten Dunst, Mary Jane Watson], [Rosemary Harris, May Parker], [Theresa Russell, Mrs. Marko], [Thomas Haden Church, Flint Marko / Sandman], [Tobey Maguire, Peter Parker / Spider-Man], [Topher Grace, Eddie Brock / Venom]];Sam Raimi;[[Alvin Sargent, Screenplay], [Ivan Raimi, Screenplay], [Sam Raimi, Screenplay]];[[Avi Arad, Producer], [Grant Curtis, Producer], [Joseph M. Caracciolo Jr., Executive Producer], [Kevin Feige, Executive Producer], [Laura Ziskin, Producer], [Stan Lee, Executive Producer]]
38757;Tangled;['Unknown', 'Unknown'];2010;100;When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.;[[Brad Garrett, Hook Hand Thug (voice)], [Delaney Rose Stein, Young Rapunzel / Little Girl (voice)], [Donna Murphy, Mother Gothel (voice)], [Jeffrey Tambor, Big Nose Thug (voice)], [M.C. Gainey, Captain of the Guard (voice)], [Mandy Moore, Rapunzel (voice)], [Paul F. Tompkins, Short Thug (voice)], [Richard Kiel, Vlad (voice)], [Ron Perlman, Stabbington Brother (voice)], [Zachary Levi, Flynn Rider (voice)]];Nathan Greno;[[Dan Fogelman, Screenplay], [Mark Kennedy, Story]];[[Glen Keane, Executive Producer], [John Lasseter, Executive Producer], [Roy Conli, Producer]]
99861;Avengers: Age of Ultron;['Action', 'Adventure', 'Science Fiction'];2015;141;When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth?s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.;[[Aaron Taylor-Johnson, Pietro Maximoff / Quicksilver], [Chris Evans, Steve Rogers / Captain America], [Chris Hemsworth, Thor Odinson], [Don Cheadle, James Rhodes / War Machine], [James Spader, Ultron (voice)], [Jeremy Renner, Clint Barton / Hawkeye], [Mark Ruffalo, Bruce Banner / Hulk], [Robert Downey Jr., Tony Stark / Iron Man], [Samuel L. Jackson, Nick Fury], [Scarlett Johansson, Natasha Romanoff / Black Widow]];Joss Whedon;[[Joss Whedon, Writer]];[["Louis D'Esposito", Executive Producer], [Alan Fine, Executive Producer], [Jeremy Latcham, Executive Producer], [Jon Favreau, Executive Producer], [Kevin Feige, Producer], [Patricia Whitcher, Executive Producer], [Stan Lee, Executive Producer], [Victoria Alonso, Executive Producer]]
767;Harry Potter and the Half-Blood Prince;['Adventure', 'Fantasy', 'Unknown'];2009;153;As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.;[[Alan Rickman, Severus Snape], [Daniel Radcliffe, Harry Potter], [Emma Watson, Hermione Granger], [Helena Bonham Carter, Bellatrix Lestrange], [Jim Broadbent, Horace Slughorn], [Maggie Smith, Minerva McGonagall], [Michael Gambon, Albus Dumbledore], [Robbie Coltrane, Rubeus Hagrid], [Rupert Grint, Ron Weasley], [Tom Felton, Draco Malfoy]];David Yates;[[Steve Kloves, Screenplay]];[[David Barron, Producer], [David Heyman, Producer], [Lionel Wigram, Executive Producer], [Tim Lewis, Producer]]
209112;Batman v Superman: Dawn of Justice;['Action', 'Adventure', 'Fantasy'];2016;151;Fearing the actions of a god-like Super Hero left unchecked, Gotham City?s own formidable, forceful vigilante takes on Metropolis?s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it?s ever known before.;[[Amy Adams, Lois Lane], [Ben Affleck, Bruce Wayne / Batman], [Diane Lane, Martha Kent], [Gal Gadot, Diana Prince / Wonder Woman], [Henry Cavill, Clark Kent / Superman], [Holly Hunter, Senator Finch], [Jeremy Irons, Alfred Pennyworth], [Jesse Eisenberg, Lex Luthor], [Laurence Fishburne, Perry White], [Scoot McNairy, Wallace Keefe]];Zack Snyder;[[Chris Terrio, Screenplay], [David S. Goyer, Screenplay]];[[Benjamin Melniker, Executive Producer], [Charles Roven, Producer], [Christopher Nolan, Executive Producer], [David S. Goyer, Executive Producer], [Deborah Snyder, Producer], [Emma Thomas, Executive Producer], [Geoff Johns, Executive Producer], [Michael Uslan, Executive Producer], [Wesley Coller, Executive Producer]]
