ID;Name;Birthday;Films
0;James Cameron;1954-08-16;[[679, Screenplay], [19995, Writer], [19995, Screenplay], [1369, Screenplay], [280, Writer], [2756, Screenplay], [218, Writer], [597, Screenplay], [36955, Screenplay]]
1;Ted Elliott;1970-01-01;[[812, Screenplay], [19585, Screenplay], [285, Screenplay], [58, Screenplay], [1865, Screenplay], [22, Screenplay], [11551, Screenplay], [57201, Screenplay], [9342, Screenplay], [9342, Screenplay], [10501, Screenplay]]
2;Terry Rossio;1970-01-01;[[812, Screenplay], [19585, Screenplay], [285, Screenplay], [58, Screenplay], [1865, Screenplay], [22, Screenplay], [11551, Screenplay], [57201, Screenplay], [9342, Screenplay], [9342, Screenplay], [10501, Screenplay]]
3;John Logan;1970-01-01;[[9563, Screenplay], [10496, Screenplay], [101173, Screenplay], [98, Screenplay], [44826, Screenplay], [44896, Writer], [44896, Screenplay], [14411, Writer], [37724, Writer], [206647, Screenplay], [206647, Screenplay], [201, Screenplay], [2567, Screenplay], [616, Screenplay], [2135, Screenplay]]
4;Robert Wade;1970-01-01;[[36557, Screenplay], [36669, Screenplay], [10764, Screenplay], [37724, Writer], [206647, Screenplay], [206647, Screenplay], [36643, Screenplay]]
5;Neal Purvis;1970-01-01;[[36557, Screenplay], [36669, Screenplay], [10764, Screenplay], [37724, Writer], [206647, Screenplay], [206647, Screenplay], [36643, Screenplay]]
6;Jez Butterworth;1970-01-01;[[2084, Screenplay], [261023, Screenplay], [137113, Screenplay], [38363, Screenplay], [239566, Screenplay], [206647, Screenplay]]
7;Christopher Nolan;1970-07-30;[[272, Screenplay], [27205, Screenplay], [157336, Writer], [49521, Screenplay], [77, Screenplay], [155, Screenplay], [49026, Screenplay], [49026, Screenplay], [1124, Screenplay]]
8;Jonathan Nolan;1976-06-06;[[157336, Writer], [155, Screenplay], [49026, Screenplay], [1124, Screenplay]]
9;David S. Goyer;1965-12-22;[[272, Screenplay], [209112, Screenplay], [36647, Writer], [36586, Writer], [36648, Writer], [2666, Screenplay], [71676, Screenplay], [71676, Screenplay], [8247, Screenplay], [49521, Screenplay], [49521, Screenplay], [155, Screenplay], [49026, Screenplay], [13788, Writer]]
